,YearMonth,Tonnes
1141,202411.0,0.3178
1142,202411.0,0.328
1143,202411.0,0.3708
1144,202412.0,0.714
1145,202412.0,0.304
1146,202412.0,0.336
1147,202412.0,0.368
1148,202412.0,
1149,202411.0,0.096
1150,202411.0,0.48
1151,202411.0,0.184
1152,202411.0,0.372
1153,202411.0,0.372
1154,202411.0,0.0322
1155,202411.0,0.036
1156,202411.0,0.3528
1157,202411.0,0.112
1158,202410.0,0.8372
1159,202410.0,0.16263999999999998
1160,202410.0,0.48
1161,202410.0,0.21
1162,202410.0,0.07
1163,202410.0,0.216
1164,202410.0,0.981
1165,202410.0,0.096
1166,202410.0,0.264
1167,202410.0,0.15239999999999998
1168,202410.0,
1169,202410.0,0.032
1170,202410.0,0.036
1171,202410.0,
1172,202410.0,
1173,202410.0,
1174,202410.0,
1175,202410.0,
1176,202410.0,0.6
1177,202410.0,0.4
1178,202410.0,0.9265
1179,202410.0,0.216
1180,202410.0,0.054
1181,202410.0,0.054
1182,202410.0,0.054
1183,202410.0,0.054
1184,202410.0,0.054
1185,202410.0,0.054
1186,202410.0,0.054
1187,202410.0,0.0246
1188,202410.0,
1189,202410.0,0.195
1190,202410.0,0.585
1191,202410.0,
1192,202501.0,0.19
1193,202501.0,0.95
1194,202501.0,
1195,202501.0,0.054799999999999995
1196,,0.09
1197,,0.09
1198,,0.09
1199,,0.09
1200,,1.1
1201,,0.11
1202,,0.55
1203,202411.0,0.684
1204,202411.0,0.456
1205,202411.0,0.184
1206,202411.0,
1207,202411.0,0.327
1208,202411.0,0.344
1209,,0.3976
1210,,0.6
1211,,1.19
1212,202411.0,0.404
1213,202411.0,0.119
1214,202411.0,0.238
1215,202411.0,0.268
1216,202411.0,0.268
1217,202411.0,
1218,202411.0,
